t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
907	1	66.0	65.0	67.0	63.000004	40.917274	53.093002	2188000	2342000	1655000	647000	403000	3219536
913	1	64.0	63.000004	65.0	61.000004	40.943462	52.294003	2092000	2208000	1462000	585000	403000	3220308
918	1	61.000004	61.000004	63.000004	59.000004	40.91196	51.163002	1939000	2208000	1462000	535000	403000	3189816
923	1	60.000004	60.000004	62.000004	59.000004	40.86663	50.279003	1862000	2208000	1462000	480000	489000	3184236
929	1	60.000004	60.000004	62.000004	58.000004	40.77985	49.755	1862000	2208000	1462000	480000	489000	3186380
934	1	59.000004	59.000004	61.000004	58.000004	40.727783	49.196003	1785000	2208000	1462000	388000	489000	3168020
939	1	59.000004	58.000004	60.000004	57.000004	40.562313	48.828003	1785000	2208000	1462000	388000	609000	3159564
944	1	58.000004	58.000004	60.000004	57.000004	40.418762	48.593002	1785000	2208000	1462000	388000	609000	3189164
950	1	59.000004	58.000004	60.000004	57.000004	40.35497	48.429	1785000	2208000	1462000	388000	609000	3189360
955	1	59.000004	58.000004	59.000004	57.000004	40.26741	48.292004	1785000	2208000	1462000	388000	609000	3161980
960	1	59.000004	58.000004	60.000004	57.000004	40.183357	48.186	1862000	2208000	1462000	480000	867000	3152712
966	1	59.000004	58.000004	60.000004	56.000004	40.129044	48.119003	1785000	2208000	1462000	388000	867000	3126428
971	1	59.000004	58.000004	58.000004	56.000004	40.093945	48.070004	1785000	2208000	1462000	388000	867000	3126048
976	1	60.000004	59.000004	59.000004	56.000004	40.06025	48.000004	1785000	2208000	1462000	388000	999000	3162704
982	1	58.000004	58.000004	59.000004	56.000004	40.032036	47.95	1862000	2208000	1462000	480000	999000	3164952
987	1	59.000004	58.000004	59.000004	56.000004	40.01177	47.985	1939000	2208000	1462000	535000	999000	3212268
992	1	59.000004	58.000004	58.000004	56.000004	40.003414	48.006	1939000	2208000	1462000	535000	999000	3212236
997	1	58.000004	59.000004	60.000004	57.000004	40.012737	47.996002	2092000	2208000	1462000	585000	999000	3214452
1003	1	59.000004	59.000004	60.000004	57.000004	40.0265	48.010002	2188000	2208000	1462000	647000	999000	3213464
1008	1	60.000004	59.000004	60.000004	57.000004	40.041656	48.116	2188000	2208000	1462000	647000	999000	3215500
1013	1	61.000004	60.000004	62.000004	58.000004	40.02611	48.229004	2188000	2208000	1462000	647000	999000	3195500
1019	1	61.000004	60.000004	62.000004	58.000004	40.016785	48.432003	2284000	2208000	1462000	740000	999000	3195032
1024	1	60.000004	60.000004	62.000004	58.000004	40.048573	48.548004	2284000	2208000	1462000	740000	999000	3192160
1029	1	61.000004	60.000004	61.000004	58.000004	40.07909	48.636	2284000	2208000	1462000	740000	999000	3198420
1034	1	61.000004	60.000004	63.000004	59.000004	40.14576	48.668003	2284000	2208000	1462000	740000	999000	3174480
1039	1	61.000004	61.000004	64.0	59.000004	40.177917	48.789	2400000	2208000	1462000	833000	999000	3187548
1045	1	62.000004	62.000004	66.0	60.000004	40.208782	48.858	2284000	2208000	1462000	740000	999000	3183416
1050	1	63.000004	62.000004	65.0	59.000004	40.24753	48.9	2284000	2208000	1462000	740000	999000	3184520
1055	1	61.000004	60.000004	62.000004	58.000004	40.256252	48.896004	2284000	2208000	1462000	740000	999000	3192808
1060	1	61.000004	60.000004	62.000004	58.000004	40.289097	48.895	2284000	2208000	1462000	740000	999000	3195576
1066	1	61.000004	60.000004	63.000004	58.000004	40.375603	48.850002	2400000	2208000	1462000	833000	999000	3190588
1071	1	61.000004	61.000004	64.0	59.000004	40.411743	48.890003	2400000	2208000	1462000	833000	999000	3169048
1076	1	61.000004	61.000004	63.000004	59.000004	40.427753	48.988003	2400000	2208000	1462000	833000	999000	3142616
1081	1	62.000004	61.000004	63.000004	58.000004	40.452248	49.029003	2284000	2208000	1462000	740000	999000	3142436
1087	1	61.000004	60.000004	62.000004	58.000004	40.47577	49.026	2400000	2208000	1462000	833000	999000	3142208
1092	1	61.000004	60.000004	62.000004	58.000004	40.53018	49.032	2400000	2208000	1462000	833000	999000	3170460
1097	1	61.000004	61.000004	63.000004	58.000004	40.54372	49.078003	2400000	2208000	1462000	833000	999000	3182456
1102	1	61.000004	60.000004	62.000004	58.000004	40.55184	49.075	2284000	2208000	1462000	740000	999000	3176196
1108	1	60.000004	60.000004	63.000004	58.000004	40.590103	49.032	2400000	2208000	1462000	833000	999000	3177532
1113	1	60.000004	61.000004	63.000004	59.000004	40.61526	49.050003	2400000	2208000	1462000	833000	999000	3175296
1118	1	61.000004	61.000004	63.000004	58.000004	40.62519	49.072002	2400000	2208000	1462000	833000	999000	3173984
1123	1	61.000004	60.000004	62.000004	58.000004	40.613605	49.075	2400000	2208000	1462000	833000	999000	3173840
1129	1	52.000004	51.000004	54.000004	53.000004	40.6189	48.503002	2400000	2208000	1462000	833000	999000	4697384
1134	1	49.000004	48.000004	48.000004	49.000004	40.626484	47.329002	2534000	2342000	1655000	963000	999000	7583624
1139	1	47.000004	46.000004	47.000004	47.000004	40.59862	46.143	2534000	2342000	1655000	963000	999000	7575908
